Actual,Before_Calibration,After_Calibration,Difference
1,0.43,0.14073200676313782,0.28926799323686214
0,0.46,0.17135948821049438,0.28864051178950567
0,0.5,0.7878391623855538,0.28783916238555385
1,0.39,0.10245223368991704,0.28754776631008294
0,0.4,0.11284360280588754,0.28715639719411246
0,0.43,0.1466536772946512,0.28334632270534876
1,0.63,0.9042615748648071,0.27426157486480707
0,0.5,0.24213455181870963,0.25786544818129037
0,0.36,0.10258135643797144,0.25741864356202854
0,0.55,0.8058310556833961,0.25583105568339604
0,0.36,0.10957837254822378,0.2504216274517762
1,0.61,0.8601884003798886,0.25018840037988865
0,0.46,0.2100595637369999,0.2499404362630001
0,0.39,0.14447890073229364,0.24552109926770638
0,0.33,0.08500920024814447,0.24499079975185556
0,0.68,0.9214527410143376,0.24145274101433756
0,0.46,0.21976943499014845,0.24023056500985157
0,0.37,0.13037578119371002,0.23962421880628998
0,0.44,0.20047226584054564,0.23952773415945436
0,0.37,0.13128378987167305,0.23871621012832694
0,0.48,0.24133583897102473,0.23866416102897525
0,0.48,0.24398121610878792,0.23601878389121206
1,0.64,0.8754773194791907,0.2354773194791907
0,0.63,0.865152409422253,0.23515240942225302
0,0.36,0.1249195541310861,0.23508044586891388
1,0.58,0.8143811553179431,0.23438115531794312
0,0.32,0.08671642251064127,0.23328357748935874
0,0.3,0.06707964270276784,0.23292035729723215
0,0.41,0.1778686004012532,0.23213139959874676
0,0.43,0.19810554758160887,0.23189445241839113
0,0.35,0.1189101835334124,0.23108981646658758
0,0.5,0.2701836018304574,0.22981639816954258
0,0.69,0.9192948077272624,0.2292948077272624
0,0.59,0.81876014041014,0.22876014041014003
0,0.31,0.08139997950880282,0.22860002049119718
0,0.32,0.09194557364279039,0.22805442635720963
1,0.36,0.1322334047342393,0.22776659526576068
1,0.36,0.13244963116144154,0.22755036883855845
0,0.38,0.15327528662372508,0.22672471337627492
1,0.67,0.8951506090458153,0.2251506090458153
1,0.66,0.8848952147936483,0.22489521479364827
0,0.42,0.19603299262223137,0.22396700737776862
0,0.38,0.15606119226043924,0.22393880773956076
0,0.37,0.14705751978631354,0.22294248021368646
0,0.34,0.11737658474682347,0.22262341525317655
0,0.44,0.21755112697578033,0.22244887302421967
0,0.31,0.0875896748465637,0.22241032515343628
0,0.69,0.9114947855446658,0.22149478554466584
0,0.28,0.05914708167035561,0.22085291832964443
0,0.3,0.07940379147493681,0.22059620852506318
0,0.41,0.19004667918257195,0.21995332081742802
1,0.55,0.7685455864032751,0.21854558640327504
1,0.57,0.7881002734984178,0.21810027349841787
0,0.34,0.12200542552976565,0.21799457447023438
0,0.38,0.16211392956507506,0.21788607043492494
0,0.32,0.10249565525433368,0.21750434474566632
0,0.44,0.2249711507223041,0.21502884927769592
0,0.41,0.1960477154666735,0.2139522845333265
0,0.29,0.07697850000214927,0.2130214999978507
0,0.35,0.13798536769319764,0.21201463230680234
0,0.39,0.1786390967743503,0.2113609032256497
0,0.68,0.8913510449320233,0.21135104493202328
0,0.29,0.07894448369168768,0.21105551630831232
1,0.31,0.09912038037002391,0.2108796196299761
0,0.33,0.11950519723327487,0.21049480276672516
0,0.38,0.17010415249861371,0.2098958475013863
1,0.53,0.7395466277094223,0.20954662770942223
0,0.31,0.10169221227098624,0.20830778772901376
0,0.31,0.10170631273929606,0.20829368726070394
0,0.7,0.9077945187345875,0.20779451873458754
1,0.27,0.062246814975296175,0.20775318502470386
0,0.29,0.08252629827720852,0.20747370172279145
0,0.31,0.10257983215749653,0.20742016784250347
0,0.7,0.9053482965084683,0.2053482965084683
1,0.73,0.9352474170896204,0.20524741708962047
0,0.3,0.0947978269473783,0.20520217305262167
0,0.38,0.17506808948661168,0.20493191051338833
1,0.4,0.19530342653022575,0.20469657346977427
0,0.4,0.19532863634881908,0.20467136365118094
1,0.44,0.23809962617348437,0.20190037382651563
0,0.45,0.24818771264350561,0.2018122873564944
0,0.26,0.0581920220317246,0.2018079779682754
0,0.26,0.058218757872653806,0.20178124212734622
1,0.71,0.9116941695776457,0.20169416957764574
1,0.68,0.8815145452796976,0.2015145452796976
0,0.48,0.2788569505747655,0.20114304942523448
0,0.49,0.2890850931834854,0.20091490681651458
1,0.28,0.07952969464418597,0.20047030535581406
0,0.35,0.14957989120814802,0.20042010879185196
0,0.31,0.10984112831649658,0.20015887168350344
1,0.48,0.2803942834357541,0.19960571656424586
1,0.63,0.8294761915547374,0.1994761915547374
0,0.27,0.07061956333630247,0.19938043666369754
0,0.3,0.10063697372243012,0.19936302627756985
0,0.49,0.29109817921173375,0.19890182078826624
0,0.43,0.23120013131408043,0.19879986868591956
0,0.38,0.18173848316639776,0.19826151683360224
1,0.65,0.451936328225639,0.19806367177436102
0,0.27,0.07223769175212003,0.19776230824788
0,0.54,0.34245614648878914,0.1975438535112109
0,0.29,0.09284716831886523,0.19715283168113473
0,0.55,0.7466761330732162,0.19667613307321619
0,0.47,0.27335375941819834,0.19664624058180163
0,0.53,0.33369561010763843,0.1963043898923616
0,0.59,0.7861503908064315,0.19615039080643148
1,0.33,0.13389663487242243,0.1961033651275776
0,0.54,0.34393967454874663,0.1960603254512534
0,0.62,0.8159987881323542,0.19599878813235416
0,0.67,0.8655971140385464,0.1955971140385464
1,0.69,0.8846018519543983,0.19460185195439839
0,0.24,0.045995724720200235,0.19400427527979974
0,0.24,0.04603169286130788,0.19396830713869212
1,0.65,0.8434901911480488,0.19349019114804877
1,0.71,0.9034370463142846,0.1934370463142846
0,0.4,0.20658449699700115,0.19341550300299887
0,0.37,0.177085955603075,0.192914044396925
0,0.41,0.21738756821905308,0.1926124317809469
0,0.27,0.07752529374570608,0.19247470625429394
0,0.32,0.1281620455179901,0.1918379544820099
0,0.43,0.23825223204528195,0.19174776795471804
0,0.33,0.13829416765638614,0.19170583234361388
0,0.27,0.07865816141901276,0.19134183858098724
1,0.27,0.07885293828236162,0.1911470617176384
0,0.71,0.9011008583347166,0.19110085833471668
0,0.45,0.2589277721049582,0.1910722278950418
0,0.29,0.09935203757048472,0.19064796242951526
1,0.28,0.08998649373936864,0.1900135062606314
0,0.27,0.08026773777139834,0.18973226222860168
1,0.61,0.7997039030991469,0.18970390309914686
1,0.39,0.20071329776648988,0.18928670223351013
1,0.57,0.7588768684966599,0.18887686849665997
0,0.34,0.15125821089802338,0.18874178910197664
0,0.28,0.09141513985119377,0.18858486014880627
0,0.58,0.7685785471223832,0.1885785471223832
0,0.69,0.8783657338846911,0.18836573388469113
1,0.41,0.22165318551325114,0.18834681448674884
0,0.48,0.29182542353526086,0.18817457646473912
0,0.3,0.11220779054284882,0.18779220945715117
0,0.73,0.917791374952795,0.18779137495279496
0,0.25,0.06245429227224723,0.18754570772775275
0,0.52,0.7073729977109862,0.18737299771098614
0,0.26,0.07275353180951036,0.18724646819048965
0,0.3,0.112920459352349,0.18707954064765098
0,0.38,0.1930344160009973,0.1869655839990027
0,0.33,0.14303731685800553,0.1869626831419945
1,0.68,0.8668768631532654,0.18687686315326535
0,0.35,0.16348180709867519,0.1865181929013248
1,0.47,0.28369046630168504,0.18630953369831493
1,0.43,0.24375179207023695,0.18624820792976304
0,0.3,0.11385718137133094,0.18614281862866905
1,0.69,0.8759966510955929,0.18599665109559294
0,0.35,0.16412630280536716,0.18587369719463281
0,0.31,0.1244508044695966,0.1855491955304034
0,0.53,0.7146138592109025,0.18461385921090245
0,0.29,0.10564365280711199,0.184356347192888
0,0.3,0.1160052448208571,0.18399475517914288
1,0.27,0.0864330689870755,0.1835669310129245
0,0.43,0.24650794690648165,0.18349205309351835
0,0.29,0.10653521905265995,0.18346478094734003
0,0.74,0.9232331055973091,0.1832331055973091
0,0.26,0.07679450420717089,0.18320549579282913
1,0.29,0.1069545105230659,0.18304548947693408
1,0.3,0.1173789201394925,0.1826210798605075
0,0.65,0.8326030401639362,0.18260304016393614
0,0.65,0.832570801240168,0.182570801240168
0,0.5,0.6824896935462414,0.18248969354624145
0,0.61,0.79217931838928,0.18217931838928003
0,0.28,0.09830408024891749,0.18169591975108254
0,0.37,0.18832552480596637,0.18167447519403362
1,0.62,0.8014744947823959,0.18147449478239586
1,0.38,0.1988635658405567,0.1811364341594433
1,0.64,0.8206795526855345,0.18067955268553448
0,0.32,0.13954435442845164,0.18045564557154836
0,0.41,0.229789157396094,0.18021084260390596
0,0.3,0.11984963187247666,0.18015036812752333
0,0.27,0.08994628012849554,0.18005371987150448
0,0.24,0.060201204166741164,0.17979879583325883
0,0.31,0.1302568317299517,0.1797431682700483
0,0.28,0.10027188845590347,0.17972811154409657
0,0.27,0.09028239240946648,0.17971760759053354
0,0.36,0.18045387376703131,0.17954612623296867
1,0.39,0.21048186217826595,0.17951813782173406
0,0.26,0.08061930761926484,0.17938069238073517
0,0.29,0.11070171887606743,0.17929828112393253
0,0.36,0.1810363206674382,0.1789636793325618
0,0.76,0.9386324761906746,0.17863247619067457
1,0.59,0.76845223807582,0.17845223807582
0,0.29,0.11159904949004602,0.17840095050995397
0,0.44,0.26173116972000665,0.17826883027999335
1,0.67,0.8479933250697602,0.17799332506976018
0,0.25,0.07213837869673996,0.17786162130326005
0,0.25,0.07237233922252212,0.17762766077747788
0,0.57,0.7476128889692204,0.17761288896922045
0,0.29,0.11258014486841761,0.17741985513158237
0,0.65,0.8273798545686993,0.1773798545686993
1,0.61,0.7872555082625561,0.1772555082625561
0,0.26,0.08279533452577735,0.17720466547422264
0,0.71,0.8871771056808214,0.17717710568082146
0,0.29,0.11304783865315224,0.17695216134684774
0,0.26,0.08335543817407137,0.17664456182592864
0,0.26,0.083361566513761,0.176638433486239
0,0.46,0.2833756566375197,0.17662434336248034
0,0.37,0.19340654830092435,0.17659345169907564
0,0.29,0.11353320166414002,0.17646679833585996
0,0.43,0.25375915393966847,0.17624084606033152
0,0.42,0.24413240373042938,0.1758675962695706
0,0.24,0.06420899899646243,0.17579100100353756
0,0.33,0.1542164873132635,0.1757835126867365
0,0.55,0.3744805645980478,0.17551943540195225
0,0.37,0.19449927937355416,0.17550072062644584
0,0.33,0.15480339867422094,0.17519660132577908
0,0.29,0.11510078796254297,0.174899212037457
0,0.69,0.8648398499477438,0.17483984994774382
